,Channel,Watch time,Stream time,Hours streamed in 2020,Daily streamtime (hours),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
234,Aydan,546753135,153270,2554.5,6.998630136986302,51268,3566,1964255,469810,10038516,True,True,English
235,midbeast,546594060,124275,2071.25,5.674657534246576,32945,4397,460485,232719,15773690,True,False,English
236,쌍베 (pacific8815),545557740,120720,2012.0,5.512328767123288,31421,4518,193438,43483,17132115,True,False,Korean
237,CriticalRole,545375610,17520,292.0,0.8,110800,31128,656284,216050,7137719,True,False,English
238,Bonjwa,543739500,265695,4428.25,12.132191780821918,11063,2046,146761,23131,13219083,True,False,German
239,HoneyMad,543678630,77415,1290.25,3.5349315068493152,35127,7022,612767,102351,17807386,True,True,Russian
240,Nick28T,537998490,185535,3092.25,8.471917808219178,16011,2899,1020336,63428,6184409,True,True,English
241,Sequisha,537473205,189270,3154.5,8.642465753424657,19755,2839,279598,78305,7343919,True,True,English
242,ESAMarathon,532444125,479370,7989.5,21.889041095890413,30633,1110,247995,35335,39568197,True,False,English
243,scoped,532241805,93990,1566.5,4.291780821917809,47343,5662,1083377,1012463,13419077,True,True,English
244,Mathil1,530229705,138750,2312.5,6.335616438356165,22217,3820,312856,49892,11998222,True,False,English
245,jovirone,525158895,96705,1611.75,4.4157534246575345,40367,5430,1141906,281121,18571136,True,False,Portuguese
246,BobRoss,525043140,227235,3787.25,10.376027397260273,11659,2310,1676063,227108,6439490,True,False,English
247,플러리 (flurry1989),523541940,125655,2094.25,5.737671232876712,12084,4166,181835,43662,13073574,True,False,Korean
248,木棉花官方頻道 (muse_tw),522457770,515295,8588.25,23.529452054794522,16702,1013,125400,50275,11060263,True,True,Chinese
249,chocoTaco,521959800,157440,2624.0,7.189041095890411,105530,3314,1196019,202087,21140326,True,False,English
250,ziGueira,520991670,120075,2001.25,5.482876712328767,21804,4338,604693,236975,10072038,True,False,Portuguese
251,嬌兔 (zrush),518979720,140775,2346.25,6.428082191780822,10628,3686,195770,45330,15458734,True,True,Chinese
252,Nadeshot,517319535,58965,982.75,2.6924657534246577,60550,8772,1622377,472772,9304838,True,True,English
253,탬탬버린 (2chamcham2),515307450,94305,1571.75,4.306164383561644,16243,5463,527056,135807,14107546,True,False,Korean
